blank,k,E,EF
,0.9774,-30.7289,
,0.9907,-30.7327,
,1.004,-30.734,
,1.0174,-30.7332,
,1.0307,-30.7314,
,1.044,-30.7291,
,1.0574,-30.7263,
,1.0707,-30.7231,
,1.084,-30.7195,
,1.0974,-30.7155,
,1.1107,-30.7109,
,1.124,-30.7057,
,1.1374,-30.7,
,1.1507,-30.6936,
,1.164,-30.6865,
,1.1774,-30.6788,
,1.1907,-30.6705,
,1.204,-30.6615,
,1.2174,-30.652,
,1.2307,-30.6419,
,1.244,-30.6312,
,1.2574,-30.6202,
,1.2707,-30.6088,
,1.284,-30.597,
,1.2974,-30.5849,
,1.3107,-30.5726,
,1.324,-30.5602,
,1.3374,-30.5477,
,1.3507,-30.5353,
,1.364,-30.5229,
,1.3774,-30.5107,
,1.3907,-30.4986,
,1.404,-30.4869,
,1.4174,-30.4755,
,1.4307,-30.4646,
,1.444,-30.4542,
,1.4574,-30.4443,
,1.4707,-30.4352,
,1.484,-30.4267,
,1.4974,-30.4192,
,1.5107,-30.4126,
,1.524,-30.4071,
,1.5374,-30.4028,
,1.5507,-30.3997,
,1.564,-30.3979,
,1.5774,-30.3973,
,,,
,0,-30.3972,
,0.0115,-30.3974,
,0.0231,-30.3977,
,0.0346,-30.3982,
,0.0462,-30.3989,
,0.0577,-30.3997,
,0.0693,-30.4011,
,0.0808,-30.4064,
,0.0924,-30.4122,
,0.1039,-30.4185,
,0.1155,-30.4253,
,0.127,-30.4326,
,0.1386,-30.4405,
,0.1501,-30.4488,
,0.1617,-30.4576,
,0.1732,-30.4668,
,0.1848,-30.4765,
,0.1963,-30.4865,
,0.2078,-30.4968,
,0.2194,-30.5074,
,0.2309,-30.5183,
,0.2425,-30.5294,
,0.254,-30.5406,
,0.2656,-30.552,
,0.2771,-30.5634,
,0.2887,-30.5749,
,0.3002,-30.5863,
,0.3118,-30.5977,
,0.3233,-30.609,
,0.3349,-30.6201,
,0.3464,-30.6311,
,0.358,-30.6418,
,0.3695,-30.6522,
,0.3811,-30.6623,
,0.3926,-30.672,
,0.4041,-30.6813,
,0.4157,-30.6902,
,0.4272,-30.6984,
,0.4388,-30.706,
,0.4503,-30.7125,
,0.4619,-30.7174,
,0.4734,-30.7204,
,0.485,-30.7222,
,0.4965,-30.7232,
,0.5081,-30.7238,
,0.5196,-30.724,
,0.5312,-30.7241,
,0.5427,-30.7241,
,0.5543,-30.724,
,0.5658,-30.724,
,0.5774,-30.724,
,0.584,-30.724,
,0.5907,-30.724,
,0.5974,-30.7241,
,0.604,-30.7241,
,0.6107,-30.7242,
,0.6174,-30.7243,
,0.624,-30.7244,
,0.6307,-30.7246,
,0.6374,-30.7247,
,0.644,-30.7249,
,0.6507,-30.7251,
,0.6574,-30.7253,
,0.664,-30.7256,
,0.6707,-30.7258,
,0.6774,-30.7261,
,0.684,-30.7265,
,0.6907,-30.7268,
,0.6974,-30.7272,
,0.704,-30.7276,
,0.7107,-30.728,
,0.7174,-30.7284,
,0.724,-30.7288,
,0.7307,-30.729,
,0.7374,-30.7289,
,0.744,-30.7277,
,0.7507,-30.7259,
,0.7574,-30.7238,
,0.764,-30.7215,
,0.7707,-30.7192,
,0.7774,-30.7168,
,0.784,-30.7144,
,0.7907,-30.7119,
,0.7974,-30.7093,
,0.804,-30.7068,
,0.8107,-30.7042,
,0.8174,-30.7016,
,0.824,-30.699,
,0.8307,-30.6964,
,0.8374,-30.6938,
,0.844,-30.6913,
,0.8507,-30.6888,
,0.8574,-30.6864,
,0.864,-30.6842,
