E,dos,int,EF
-4.28,1.01E-84,4.00E+00,
-4.27,1.01E-84,4.00E+00,
-4.26,1.01E-84,4.00E+00,
-4.25,1.01E-84,4.00E+00,
-4.24,1.01E-84,4.00E+00,
-4.23,1.01E-84,4.00E+00,
-4.22,1.01E-84,4.00E+00,
-4.21,1.01E-84,4.00E+00,
-4.2,1.01E-84,4.00E+00,
-4.19,1.01E-84,4.00E+00,
-4.18,1.01E-84,4.00E+00,
-4.17,1.01E-84,4.00E+00,
-4.16,1.01E-84,4.00E+00,
-4.15,1.01E-84,4.00E+00,
-4.14,1.01E-84,4.00E+00,
-4.13,1.01E-84,4.00E+00,
-4.12,1.23E-84,4.00E+00,
-4.11,1.41E-83,4.00E+00,
-4.1,7.38E-82,4.00E+00,
-4.09,3.98E-80,4.00E+00,
-4.08,2.05E-78,4.00E+00,
-4.07,1.02E-76,4.00E+00,
-4.06,4.81E-75,4.00E+00,
-4.05,2.18E-73,4.00E+00,
-4.04,9.47E-72,4.00E+00,
-4.03,3.94E-70,4.00E+00,
-4.02,1.57E-68,4.00E+00,
-4.01,5.99E-67,4.00E+00,
-4,2.19E-65,4.00E+00,
-3.99,7.66E-64,4.00E+00,
-3.98,2.57E-62,4.00E+00,
-3.97,8.25E-61,4.00E+00,
-3.96,2.54E-59,4.00E+00,
-3.95,7.47E-58,4.00E+00,
-3.94,2.11E-56,4.00E+00,
-3.93,5.70E-55,4.00E+00,
-3.92,1.48E-53,4.00E+00,
-3.91,3.66E-52,4.00E+00,
-3.9,8.68E-51,4.00E+00,
-3.89,1.97E-49,4.00E+00,
-3.88,4.30E-48,4.00E+00,
-3.87,8.96E-47,4.00E+00,
-3.86,1.79E-45,4.00E+00,
-3.85,3.43E-44,4.00E+00,
-3.84,6.28E-43,4.00E+00,
-3.83,1.10E-41,4.00E+00,
-3.82,1.85E-40,4.00E+00,
-3.81,2.98E-39,4.00E+00,
-3.8,4.60E-38,4.00E+00,
-3.79,6.80E-37,4.00E+00,
-3.78,9.62E-36,4.00E+00,
-3.77,1.30E-34,4.00E+00,
-3.76,1.69E-33,4.00E+00,
-3.75,2.10E-32,4.00E+00,
-3.74,2.50E-31,4.00E+00,
-3.73,2.86E-30,4.00E+00,
-3.72,3.12E-29,4.00E+00,
-3.71,3.26E-28,4.00E+00,
-3.7,3.27E-27,4.00E+00,
-3.69,3.14E-26,4.00E+00,
-3.68,2.89E-25,4.00E+00,
-3.67,2.54E-24,4.00E+00,
-3.66,2.15E-23,4.00E+00,
-3.65,1.73E-22,4.00E+00,
-3.64,1.34E-21,4.00E+00,
-3.63,9.95E-21,4.00E+00,
-3.62,7.07E-20,4.00E+00,
-3.61,4.81E-19,4.00E+00,
-3.6,3.13E-18,4.00E+00,
-3.59,1.96E-17,4.00E+00,
-3.58,1.17E-16,4.00E+00,
-3.57,6.70E-16,4.00E+00,
-3.56,3.68E-15,4.00E+00,
-3.55,1.93E-14,4.00E+00,
-3.54,9.73E-14,4.00E+00,
-3.53,4.69E-13,4.00E+00,
-3.52,2.17E-12,4.00E+00,
-3.51,9.60E-12,4.00E+00,
-3.5,4.07E-11,4.00E+00,
-3.49,1.66E-10,4.00E+00,
-3.48,6.44E-10,4.00E+00,
-3.47,2.40E-09,4.00E+00,
-3.46,8.59E-09,4.00E+00,
-3.45,2.94E-08,4.00E+00,
-3.44,9.65E-08,4.00E+00,
-3.43,3.03E-07,4.00E+00,
-3.42,9.14E-07,4.00E+00,
-3.41,2.64E-06,4.00E+00,
-3.4,7.30E-06,4.00E+00,
-3.39,1.94E-05,4.00E+00,
-3.38,4.92E-05,4.00E+00,
-3.37,1.20E-04,4.00E+00,
-3.36,2.80E-04,4.00E+00,
-3.35,6.27E-04,4.00E+00,
-3.34,1.35E-03,4.00E+00,
-3.33,2.77E-03,4.00E+00,
-3.32,5.46E-03,4.00E+00,
-3.31,1.03E-02,4.00E+00,
-3.3,1.88E-02,4.00E+00,
-3.29,3.27E-02,4.00E+00,
-3.28,5.47E-02,4.00E+00,
-3.27,8.77E-02,4.00E+00,
-3.26,1.35E-01,4.00E+00,
-3.25,2.00E-01,4.01E+00,
-3.24,2.85E-01,4.01E+00,
-3.23,3.89E-01,4.01E+00,
-3.22,5.12E-01,4.02E+00,
-3.21,6.49E-01,4.02E+00,
-3.2,7.92E-01,4.03E+00,
-3.19,9.33E-01,4.04E+00,
-3.18,1.06E+00,4.05E+00,
-3.17,1.17E+00,4.06E+00,
-3.16,1.25E+00,4.08E+00,
-3.15,1.29E+00,4.09E+00,
-3.14,1.31E+00,4.10E+00,
-3.13,1.29E+00,4.12E+00,
-3.12,1.26E+00,4.13E+00,
-3.11,1.20E+00,4.14E+00,
-3.1,1.15E+00,4.15E+00,
-3.09,1.09E+00,4.16E+00,
-3.08,1.04E+00,4.17E+00,
-3.07,1.01E+00,4.18E+00,
-3.06,9.94E-01,4.19E+00,
-3.05,1.01E+00,4.20E+00,
-3.04,1.05E+00,4.21E+00,
-3.03,1.13E+00,4.22E+00,
