k,E,EF
0.8408,-21.4544,
0.8584,-21.4517,
0.8759,-21.4489,
0.8934,-21.4461,
0.9109,-21.4433,
0.9284,-21.4405,
0.9459,-21.4379,
0.9635,-21.4355,
0.981,-21.4336,
0.9985,-21.4321,
1.016,-21.4311,
1.0335,-21.4308,
,,
0,-21.3606,
0.0175,-21.3608,
0.035,-21.3612,
0.0526,-21.362,
0.0701,-21.363,
0.0876,-21.3642,
0.1051,-21.3657,
0.1226,-21.3675,
0.1401,-21.3694,
0.1577,-21.3715,
0.1752,-21.3738,
0.1927,-21.3762,
0.2102,-21.3787,
0.2277,-21.3814,
0.2452,-21.384,
0.2628,-21.3868,
0.2803,-21.3896,
0.2978,-21.3924,
0.3153,-21.3952,
0.3328,-21.398,
0.3504,-21.4008,
0.3679,-21.4035,
0.3854,-21.4061,
0.4029,-21.4087,
0.4204,-21.4111,
0.4379,-21.4135,
0.4555,-21.4156,
0.473,-21.4175,
0.4905,-21.4192,
0.508,-21.4206,
0.5255,-21.4216,
0.543,-21.4222,
0.5606,-21.4222,
0.5781,-21.4216,
0.5956,-21.4202,
0.6131,-21.4181,
0.6306,-21.4152,
0.6481,-21.4116,
0.6657,-21.4073,
0.6832,-21.4025,
0.7007,-21.3972,
0.7182,-21.3915,
0.7357,-21.3856,
0.7533,-21.3794,
0.7708,-21.3732,
0.7883,-21.3669,
0.8058,-21.3606,
0.8233,-21.3544,
0.8408,-21.3484,
0.8584,-21.3429,
0.8759,-21.3379,
0.8934,-21.3338,
0.9109,-21.331,
0.9284,-21.3295,
0.9459,-21.3292,
0.9635,-21.3297,
0.981,-21.3306,
0.9985,-21.3316,
1.016,-21.3322,
1.0335,-21.3324,
,,
0,-21.2419,
0.0175,-21.2418,
0.035,-21.2416,
0.0526,-21.2413,
0.0701,-21.2408,
0.0876,-21.2402,
0.1051,-21.2394,
0.1226,-21.2386,
0.1401,-21.2378,
0.1577,-21.2369,
0.1752,-21.2359,
0.1927,-21.2349,
0.2102,-21.234,
0.2277,-21.233,
0.2452,-21.232,
0.2628,-21.231,
0.2803,-21.2301,
0.2978,-21.2292,
0.3153,-21.2283,
0.3328,-21.2275,
0.3504,-21.2267,
0.3679,-21.2259,
0.3854,-21.2252,
0.4029,-21.2246,
0.4204,-21.224,
0.4379,-21.2236,
0.4555,-21.2232,
0.473,-21.2229,
0.4905,-21.2228,
0.508,-21.2228,
0.5255,-21.223,
0.543,-21.2234,
0.5606,-21.224,
0.5781,-21.2249,
0.5956,-21.2261,
0.6131,-21.2276,
0.6306,-21.2295,
0.6481,-21.2318,
0.6657,-21.2345,
0.6832,-21.2376,
0.7007,-21.241,
0.7182,-21.2448,
0.7357,-21.2489,
0.7533,-21.2533,
0.7708,-21.2578,
0.7883,-21.2624,
0.8058,-21.267,
0.8233,-21.2714,
0.8408,-21.2756,
0.8584,-21.2794,
0.8759,-21.2824,
0.8934,-21.2844,
0.9109,-21.285,
0.9284,-21.2841,
0.9459,-21.2818,
0.9635,-21.2785,
0.981,-21.2749,
0.9985,-21.2716,
1.016,-21.2692,
1.0335,-21.2683,
,,
0,-21.1709,
0.0175,-21.1708,
0.035,-21.1704,
0.0526,-21.1698,
0.0701,-21.1689,
0.0876,-21.1677,
0.1051,-21.1663,
0.1226,-21.1646,
0.1401,-21.1627,
0.1577,-21.1606,
0.1752,-21.1583,
0.1927,-21.1557,
0.2102,-21.153,
0.2277,-21.1501,
0.2452,-21.1471,
0.2628,-21.1439,
0.2803,-21.1406,
0.2978,-21.1373,
0.3153,-21.1339,
0.3328,-21.1305,
0.3504,-21.1272,
0.3679,-21.124,
0.3854,-21.121,
0.4029,-21.1182,
0.4204,-21.1158,
0.4379,-21.1139,
0.4555,-21.1126,
0.473,-21.112,
0.4905,-21.1123,
0.508,-21.1134,
0.5255,-21.1154,
0.543,-21.118,
0.5606,-21.1211,
0.5781,-21.1246,
0.5956,-21.1282,
0.6131,-21.1319,
0.6306,-21.1355,
0.6481,-21.1389,
0.6657,-21.1421,
0.6832,-21.1451,
0.7007,-21.1479,
0.7182,-21.1505,
0.7357,-21.1529,
0.7533,-21.1553,
0.7708,-21.1577,
0.7883,-21.1602,
0.8058,-21.163,
0.8233,-21.1662,
0.8408,-21.1699,
0.8584,-21.1741,
0.8759,-21.1788,
0.8934,-21.1839,
0.9109,-21.1894,
0.9284,-21.195,
0.9459,-21.2007,
0.9635,-21.2063,
0.981,-21.2113,
0.9985,-21.2156,
1.016,-21.2185,
1.0335,-21.2195,
,,
0,-20.9377,
0.0175,-20.9378,
0.035,-20.938,
0.0526,-20.9384,
0.0701,-20.9392,
0.0876,-20.9406,
0.1051,-20.9429,
0.1226,-20.946,
0.1401,-20.9499,
0.1577,-20.9542,
0.1752,-20.9588,
0.1927,-20.9637,
0.2102,-20.9688,
0.2277,-20.9741,
0.2452,-20.9795,
0.2628,-20.9851,
0.2803,-20.9907,
0.2978,-20.9964,
0.3153,-21.0021,
0.3328,-21.0078,
0.3504,-21.0134,
0.3679,-21.019,
0.3854,-21.0244,
0.4029,-21.0295,
0.4204,-21.0343,
0.4379,-21.0387,
0.4555,-21.0426,
0.473,-21.0458,
0.4905,-21.0483,
0.508,-21.05,
0.5255,-21.0512,
0.543,-21.0519,
0.5606,-21.0523,
0.5781,-21.0528,
0.5956,-21.0535,
0.6131,-21.0547,
0.6306,-21.0564,
0.6481,-21.0589,
0.6657,-21.0622,
0.6832,-21.0663,
0.7007,-21.071,
0.7182,-21.0762,
0.7357,-21.0817,
0.7533,-21.0874,
0.7708,-21.0931,
0.7883,-21.0985,
0.8058,-21.1036,
0.8233,-21.1082,
0.8408,-21.1121,
0.8584,-21.1155,
0.8759,-21.1181,
0.8934,-21.1202,
0.9109,-21.1217,
0.9284,-21.1228,
0.9459,-21.1236,
0.9635,-21.1241,
0.981,-21.1245,
0.9985,-21.1247,
1.016,-21.1248,
1.0335,-21.1248,
,,
0,-20.9265,
0.0175,-20.9269,
0.035,-20.9278,
